"from","to","purchase","volume_mgd","pct_supply_2022","pct_supply_2023","avg_pct_supply","avg_calc_method"
"src_A","sys_1",FALSE,188,95.2954246033914,43.2539979252033,27.2835199907422,"Imputed"
"src_G","sys_1",FALSE,67,59.4356190459803,68.3104131394066,31.3525526225567,"Imputed"
"src_B","sys_2",TRUE,196,30.8045603847131,54.7774540376849,71.9988127052784,"Calculated"
"src_B","sys_2",TRUE,93,10.9420400648378,32.180409473367,49.9771165288985,"Imputed"
"src_B","sys_2",TRUE,69,30.8045603847131,86.2707848590799,48.4356304630637,"Calculated"
"src_E","sys_3",FALSE,152,57.68521172693,NA,41.9333297200501,"Imputed"
"src_F","sys_3",TRUE,137,88.7214108579792,73.7461289996281,45.7186205126345,"Imputed"
"src_G","sys_4",FALSE,124,42.7682678308338,73.0767778726295,78.271554261446,"Calculated"
"src_D","sys_4",FALSE,108,25.3580711595714,41.6699774609879,74.9100065603852,"Calculated"
"src_A","sys_4",TRUE,86,35.941535262391,73.0767778726295,24.2275154218078,"Calculated"
"src_C","sys_5",FALSE,21,23.759850054048,25.4528644494712,37.7430347725749,"Calculated"
"src_E","sys_5",FALSE,60,82.307668782305,NA,67.4436521343887,"Calculated"
"src_G","sys_6",FALSE,100,95.5150281405076,11.8021870497614,20.5040627159178,"Calculated"
"src_E","sys_7",TRUE,24,78.2733852555975,19.0649424074218,98.5712298937142,"Calculated"
"src_F","sys_7",FALSE,133,45.6926135160029,16.471368749626,28.2879715971649,"Imputed"
"src_B","sys_8",TRUE,101,10.7393967849202,31.3974464475177,43.6716364324093,"Imputed"
"src_A","sys_8",TRUE,40,NA,NA,31.7638659663498,"Calculated"
"src_A","sys_9",TRUE,150,67.9530623485334,NA,61.2057446315885,"Imputed"
"src_F","sys_9",TRUE,168,54.3309893039986,98.5015162709169,33.0456263385713,"Imputed"
"src_A","sys_9",FALSE,70,54.3309893039986,98.5015162709169,69.7521836124361,"Calculated"
"src_D","sys_10",TRUE,159,46.5947079658508,28.7988713709638,93.1196359731257,"Calculated"
"src_B","sys_10",FALSE,47,40.8527921512723,28.7988713709638,34.823715351522,"Calculated"
"src_E","sys_10",FALSE,13,47.9660455160774,78.474126283545,42.5774733908474,"Imputed"
